Formato: ID,Nome,Tipo,Categoria (Físico/Especial/Status),Potência,Precisão,PP,Efeito secundário,Chance de efeito
329,G-Max Wildfire,Fire,Status,—,∞,10,Charizard-exclusive G-Max Move. Damages non-Fire types for 4 turns.,100
330,G-Max Wind Rage,Flying,Status,—,∞,10,Corviknight-exclusive G-Max Move. Removes battlefield hazards.,—
331,Gastro Acid,Poison,Status,—,100,10,Cancels out the effect of the opponent's Ability.,—
332,Gear Grind,Steel,Físico,50,85,15,Hits twice in one turn.,—
333,Gear Up,Steel,Status,—,—,20,The user engages its gears to raise the Attack and Sp. Atk stats of ally Pokémon with the Plus or Minus Ability.,—
334,Genesis Supernova,Psychic,Especial,185,—,1,Mew-exclusive Z-Move.,—
335,Geomancy,Fairy,Status,—,—,10,Charges on first turn, sharply raises user's Sp. Attack, Sp. Defense and Speed on the second.,—
336,Giga Drain,Grass,Especial,75,100,10,User recovers half the HP inflicted on opponent.,—
337,Giga Impact,Normal,Físico,150,90,5,User must recharge next turn.,—
338,Gigaton Hammer,Steel,Físico,160,100,5,Cannot be used twice in a row.,—
339,Gigavolt Havoc,Electric,Status,—,—,1,Electric type Z-Move.,—
340,Glacial Lance,Ice,Físico,120,100,5,The user attacks by hurling a blizzard-cloaked icicle lance at opposing Pokémon.,—
341,Glaciate,Ice,Especial,65,95,10,Lowers opponent's Speed.,100
342,Glaive Rush,Dragon,Físico,120,100,5,Attacks from opposing Pokémon during the next turn cannot miss and will inflict double damage.,—
343,Glare,Normal,Status,—,100,30,Paralyzes opponent.,—
344,Glitzy Glow,Psychic,Especial,90,100,15,Reduces damage from Special attacks.,—
345,Grass Knot,Grass,Especial,—,100,20,The heavier the opponent, the stronger the attack.,—
346,Grass Pledge,Grass,Especial,80,100,10,Added effects appear if preceded by Water Pledge or succeeded by Fire Pledge.,—
347,Grass Whistle,Grass,Status,—,55,15,Puts opponent to sleep.,—
348,Grassy Glide,Grass,Físico,55,100,20,High priority during Grassy Terrain.,—
349,Grassy Terrain,Grass,Status,—,—,10,Restores a little HP of all Pokémon for 5 turns.,—
350,Grav Apple,Grass,Físico,80,100,10,Lowers the opponent's Defense stat.,100
351,Gravity,Psychic,Status,—,—,5,Prevents moves like Fly and Bounce and the Ability Levitate for 5 turns.,—
352,Growl,Normal,Status,—,100,40,Lowers opponent's Attack.,—
353,Growth,Normal,Status,—,—,20,Raises user's Attack and Special Attack.,—
354,Grudge,Ghost,Status,—,—,5,If the users faints after using this move, the PP for the opponent's last move is depleted.,—
355,Guard Split,Psychic,Status,—,—,10,Averages Defense and Special Defense with the target.,—
356,Guard Swap,Psychic,Status,—,—,10,User and opponent swap Defense and Special Defense.,—
357,Guardian of Alola,Fairy,Status,—,—,1,Tapu-exclusive Z-move. Cuts opponent's HP by 75%.,—
358,Guillotine,Normal,Físico,—,30,5,One-Hit-KO, if it hits.,—
359,Gunk Shot,Poison,Físico,120,80,5,May poison opponent.,30
360,Gust,Flying,Especial,40,100,35,Hits Pokémon using Fly/Bounce/Sky Drop with double power.,—
361,Gyro Ball,Steel,Físico,—,100,5,The slower the user, the stronger the attack.,—
362,Hail,Ice,Status,—,—,10,Non-Ice types are damaged for 5 turns.,—
363,Hammer Arm,Fighting,Físico,100,90,10,Lowers user's Speed.,100
364,Happy Hour,Normal,Status,—,—,30,Doubles prize money from trainer battles.,—
365,Hard Press,Steel,Físico,—,100,10,—
366,Harden,Normal,Status,—,—,30,Raises user's Defense.,—
367,Haze,Ice,Status,—,—,30,Resets all stat changes.,—
368,Head Charge,Normal,Físico,120,100,15,User receives recoil damage.,—
369,Head Smash,Rock,Físico,150,80,5,User receives recoil damage.,—
370,Headbutt,Normal,Físico,70,100,15,May cause flinching.,30
371,Headlong Rush,Ground,Físico,120,100,5,Lowers user's Defense.,—
372,Heal Bell,Normal,Status,—,—,5,Heals the user's party's status conditions.,—
373,Heal Block,Psychic,Status,—,100,15,Prevents the opponent from restoring HP for 5 turns.,—
374,Heal Order,Bug,Status,—,—,10,User recovers half its max HP.,—
375,Heal Pulse,Psychic,Status,—,—,10,Restores half the target's max HP.,—
376,Healing Wish,Psychic,Status,—,—,10,The user faints and the next Pokémon released is fully healed.,—
377,Heart Stamp,Psychic,Físico,60,100,25,May cause flinching.,30
378,Heart Swap,Psychic,Status,—,—,10,Stat changes are swapped with the opponent.,—
379,Heat Crash,Fire,Físico,—,100,10,The heavier the user, the stronger the attack.,—
380,Heat Wave,Fire,Especial,95,90,10,May burn opponent.,10
381,Heavy Slam,Steel,Físico,—,100,10,The heavier the user, the stronger the attack.,—
382,Helping Hand,Normal,Status,—,—,20,In Double Battles, boosts the power of the partner's move.,—
383,Hex,Ghost,Especial,65,100,10,Inflicts more damage if the target has a status condition.,—
384,Hidden Power,Normal,Especial,60,100,15,Type and power depends on user's IVs.,—
385,High Horsepower,Ground,Físico,95,95,10,The user fiercely attacks the target using its entire body.,—
386,High Jump Kick,Fighting,Físico,130,90,10,If it misses, the user loses half their HP.,—
387,Hold Back,Normal,Físico,40,100,40,Always leaves opponent with at least 1 HP.,—
388,Hold Hands,Normal,Status,—,—,40,Makes the user and an ally very happy.,—
389,Hone Claws,Dark,Status,—,—,15,Raises user's Attack and Accuracy.,—
390,Horn Attack,Normal,Físico,65,100,25,—
391,Horn Drill,Normal,Físico,—,30,5,One-Hit-KO, if it hits.,—
392,Horn Leech,Grass,Físico,75,100,10,User recovers half the HP inflicted on opponent.,—
393,Howl,Normal,Status,—,—,40,Raises Attack of allies.,—
394,Hurricane,Flying,Especial,110,70,10,May confuse opponent.,30
395,Hydro Cannon,Water,Especial,150,90,5,User must recharge next turn.,—
396,Hydro Pump,Water,Especial,110,80,5,—
397,Hydro Steam,Water,Especial,80,100,15,Power increases in harsh sunlight.,—
398,Hydro Vortex,Water,Status,—,—,1,Water type Z-Move.,—
399,Hyper Beam,Normal,Especial,150,90,5,User must recharge next turn.,—
400,Hyper Drill,Normal,Físico,100,100,5,Can strike through Protect/Detect.,— 
401,Hyper Fang,Normal,Físico,80,90,15,May cause flinching.,10  
402,Hyper Voice,Normal,Especial,90,100,10,Hits all adjacent opponents.,—  
403,Hyperspace Fury,Dark,Físico,100,∞,5,Lowers user's Defense. Can strike through Protect/Detect.,100  
404,Hyperspace Hole,Psychic,Especial,80,∞,5,Can strike through Protect/Detect.,—  
405,Hypnosis,Psychic,Status,—,60,20,Puts opponent to sleep.,—  
406,Ice Ball,Ice,Físico,30,90,20,Doubles in power each turn for 5 turns.,—  
407,Ice Beam,Ice,Especial,90,100,10,May freeze opponent.,10  
408,Ice Burn,Ice,Especial,140,90,5,Charges on first turn, attacks on second. May burn opponent.,30  
409,Ice Fang,Ice,Físico,65,95,15,May cause flinching and/or freeze opponent.,10  
410,Ice Hammer,Ice,Físico,100,90,10,Lowers user's Speed.,100  
411,Ice Punch,Ice,Físico,75,100,15,May freeze opponent.,10  
412,Ice Shard,Ice,Físico,40,100,30,User attacks first.,—  
413,Ice Spinner,Ice,Físico,80,100,15,Removes effects of Terrain.,—  
414,Icicle Crash,Ice,Físico,85,90,10,May cause flinching.,30  
415,Icicle Spear,Ice,Físico,25,100,30,Hits 2-5 times in one turn.,—  
416,Icy Wind,Ice,Especial,55,95,15,Lowers opponent's Speed.,100  
417,Imprison,Psychic,Status,—,—,10,Opponent is unable to use moves that the user also knows.,—  
418,Incinerate,Fire,Especial,60,100,15,Destroys the target's held berry.,—  
419,Infernal Parade,Ghost,Especial,60,100,15,Inflicts double damage if the target has a status condition.,—  
420,Inferno,Fire,Especial,100,50,5,Burns opponent.,100  
421,Inferno Overdrive,Fire,Status,—,—,1,Fire type Z-Move.,—  
422,Infestation,Bug,Especial,20,100,20,Traps opponent, damaging them for 4-5 turns.,100  
423,Ingrain,Grass,Status,—,—,20,User restores HP each turn. User cannot escape/switch.,—  
424,Instruct,Psychic,Status,—,—,15,Allows an ally to use a move instead.,—  
425,Ion Deluge,Electric,Status,—,—,25,Changes Normal-type moves to Electric-type.,—  
426,Iron Defense,Steel,Status,—,—,15,Sharply raises user's Defense.,—  
427,Iron Head,Steel,Físico,80,100,15,May cause flinching.,30  
428,Iron Tail,Steel,Físico,100,75,15,May lower opponent's Defense.,30  
429,Ivy Cudgel,Grass,Físico,100,100,10,High critical hit ratio. Type changes based on form.,—  
430,Jaw Lock,Dark,Físico,80,100,10,Prevents user and opponent from switching out.,—  
431,Jet Punch,Water,Físico,60,100,15,Always goes first.,—  
432,Judgment,Normal,Especial,100,100,10,Type depends on the Arceus Plate being held.,—  
433,Jump Kick,Fighting,Físico,100,95,10,If it misses, the user loses half their HP.,—  
434,Jungle Healing,Grass,Status,—,—,10,Restores team's HP and cures status conditions.,—  
435,Karate Chop,Fighting,Físico,50,100,25,High critical hit ratio.,—  
436,Kinesis,Psychic,Status,—,80,15,Lowers opponent's Accuracy.,—  
437,King's Shield,Steel,Status,—,—,10,Protects the user and lowers opponent's Attack on contact.,—  
438,Knock Off,Dark,Físico,65,100,20,Removes opponent's held item for the rest of the battle.,—  
439,Kowtow Cleave,Dark,Físico,85,∞,10,Always hits.,—  
440,Land's Wrath,Ground,Físico,90,100,10,Hits all adjacent opponents.,—  
441,Laser Focus,Normal,Status,—,—,30,User's next attack is guaranteed to result in a critical hit.,—  
442,Lash Out,Dark,Físico,75,100,5,Double power if stats were lowered during the turn.,—  
443,Last Resort,Normal,Físico,140,100,5,Can only be used after all other moves are used.,—  
444,Last Respects,Ghost,Físico,50,100,10,Damage increases the more party Pokémon have been defeated.,—  
445,Lava Plume,Fire,Especial,80,100,15,May burn opponent.,30  
446,Leaf Blade,Grass,Físico,90,100,15,High critical hit ratio.,—  
447,Leaf Storm,Grass,Especial,130,90,5,Sharply lowers user's Special Attack.,100  
448,Leaf Tornado,Grass,Especial,65,90,10,May lower opponent's Accuracy.,50  
449,Leafage,Grass,Físico,40,100,40,Strikes opponent with leaves.,—  
450,Leech Life,Bug,Físico,80,100,10,User recovers half the HP inflicted on opponent.,—  
451,Leech Seed,Grass,Status,—,90,10,Drains HP from opponent each turn.,—  
452,Leer,Normal,Status,—,100,30,Lowers opponent's Defense.,100  
453,Let's Snuggle Forever,Fairy,Físico,190,—,1,Mimikyu-exclusive Z-Move.,—  
454,Lick,Ghost,Físico,30,100,30,May paralyze opponent.,30  
455,Life Dew,Water,Status,—,—,10,User and teammates recover HP.,—  
456,Light of Ruin,Fairy,Especial,140,90,5,User receives recoil damage.,—  
457,Light Screen,Psychic,Status,—,—,30,Halves damage from Special attacks for 5 turns.,—  
458,Light That Burns the Sky,Psychic,Especial,200,—,1,Ultra Necrozma-exclusive Z-Move. Ignores target's ability; uses highest Attack stat.,—  
459,Liquidation,Water,Físico,85,100,10,May lower opponent's Defense.,20  
460,Lock-On,Normal,Status,—,—,5,User's next attack is guaranteed to hit.,—  
461,Lovely Kiss,Normal,Status,—,75,10,Puts opponent to sleep.,—  
462,Low Kick,Fighting,Físico,—,100,20,The heavier the opponent, the stronger the attack.,—  
463,Low Sweep,Fighting,Físico,65,100,20,Lowers opponent's Speed.,100  
464,Lucky Chant,Normal,Status,—,—,30,Opponent cannot land critical hits for 5 turns.,—  
465,Lumina Crash,Psychic,Especial,80,100,10,Harshly lowers target’s Special Defense.,100  
466,Lunar Blessing,Psychic,Status,—,—,5,Heals user's status conditions and recovers HP.,—  
467,Lunar Dance,Psychic,Status,—,—,10,The user faints but the next Pokémon released is fully healed.,—  
468,Lunge,Bug,Físico,80,100,15,Lowers opponent's Attack.,100  
469,Luster Purge,Psychic,Especial,95,100,5,May lower opponent's Special Defense.,50  
470,Mach Punch,Fighting,Físico,40,100,30,User attacks first.,—  
471,Magic Coat,Psychic,Status,—,—,15,Reflects moves that cause status conditions back to the attacker.,—  
472,Magic Powder,Psychic,Status,—,100,20,Changes target's type to Psychic.,—  
473,Magic Room,Psychic,Status,—,—,10,Suppresses the effects of held items for five turns.,—  
474,Magical Leaf,Grass,Especial,60,∞,20,Ignores Accuracy and Evasiveness.,—  
475,Magical Torque,Fairy,Físico,100,100,10,May confuse the opponent.,—  
476,Magma Storm,Fire,Especial,100,75,5,Traps opponent, damaging them for 4-5 turns.,100  
477,Magnet Bomb,Steel,Físico,60,∞,20,Ignores Accuracy and Evasiveness.,—  
478,Magnet Rise,Electric,Status,—,—,10,User becomes immune to Ground-type moves for 5 turns.,—  
479,Magnetic Flux,Electric,Status,—,—,20,Raises Defense and Sp. Defense of Plus/Minus Pokémon.,—  
480,Magnitude,Ground,Físico,—,100,30,Hits with random power.,—  
481,Make It Rain,Steel,Especial,120,100,5,Lowers user's Special Attack. Money is earned after the battle.,—  
482,Malicious Moonsault,Dark,Físico,180,—,1,Incineroar-exclusive Z-Move.,—  
483,Malignant Chain,Poison,Físico,100,100,5,May poison the opponent.,—  
484,Mat Block,Fighting,Status,—,—,10,Protects teammates from damaging moves.,—  
485,Matcha Gotcha,Grass,Especial,80,90,15,Deals damage, restores HP, may burn opponent.,20  
486,Max Airstream,Flying,Especial,—,—,10,Flying type Dynamax move. Raises the team's Speed.,100  
487,Max Darkness,Dark,Especial,—,—,10,Dark type Dynamax move. Lowers the target's Special Defense.,100  
488,Max Flare,Fire,Especial,—,—,10,Fire type Dynamax move. Summons harsh sunlight.,—  
489,Max Flutterby,Bug,Especial,—,—,10,Bug type Dynamax move. Lowers the target's Special Attack.,100  
490,Max Geyser,Water,Especial,—,—,10,Water type Dynamax move. Summons heavy rain.,—  
491,Max Guard,Normal,Status,—,—,5,Status category Dynamax move. Protects the user.,—  
492,Max Hailstorm,Ice,Especial,—,—,10,Ice type Dynamax move. Summons hail.,—  
493,Max Knuckle,Fighting,Físico,—,—,10,Fighting type Dynamax move. Increases the team's Attack.,100  
494,Max Lightning,Electric,Especial,—,—,10,Electric type Dynamax move. Summons Electric Terrain.,—  
495,Max Mindstorm,Psychic,Especial,—,—,10,Psychic type Dynamax move. Summons Psychic Terrain.,—  
496,Max Ooze,Poison,Especial,—,—,10,Poison type Dynamax move. Increases the team's Special Attack.,100  
497,Max Overgrowth,Grass,Especial,—,—,10,Grass type Dynamax move. Summons Grassy Terrain.,—  
498,Max Phantasm,Ghost,Especial,—,—,10,Ghost type Dynamax move. Lowers the target's Defense.,100  
499,Max Quake,Ground,Especial,—,—,10,Ground type Dynamax move. Increases the team's Special Defense.,100  
500,Max Rockfall,Rock,Especial,—,—,10,Rock type Dynamax move. Summons a sandstorm.,—  
 
